answer to Q1,answer to Q2,answer to Q3,answer to Q4,answer to Q5,respondent's age,respondent's gender,respondent's occupation
5,5,5,Difference-honoring feminism,No,20,Female,Student
6,7,6,Difference-denying feminism,No,22,Male,Student
5,3,9,Difference-honoring feminism,No,21,Male,Student
7,1,9,Difference-removing feminism,No,20,Female,Student / Desk Operations Supervisor
2,3,8,Difference-honoring feminism,No,21,Male,Student
1,1,10,Difference-honoring feminism,No,21,Female,Student 
4,5,8,Difference-removing feminism,No,21,Male,Student
1,5,10,Difference-removing feminism,No,21,Male,Student
1,2,5,Difference-honoring feminism,No,22,Female,Student
6,2,8,Difference-honoring feminism,No,23,Male,Student
